City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Surt,LY,2022-01-25 19:16:36,31.2089,16.5887,52.79,52,92,22.1
88,Fortuna,US,2022-01-25 19:16:36,40.5982,-124.1573,43.14,47,0,0.45
89,San Quintin,MX,2022-01-25 19:16:36,30.4833,-115.95,62.08,59,24,6.55
90,Port Keats,AU,2022-01-25 19:16:37,-14.25,129.55,78.76,88,100,7.96
91,Cayenne,GF,2022-01-25 19:17:37,4.9333,-52.3333,82.44,82,75,5.99
92,Ulvik,NO,2022-01-25 19:17:37,60.5672,6.9187,40.21,98,100,5.88
93,La Sarre,CA,2022-01-25 19:15:44,48.8002,-79.1996,-8.21,82,100,7.72
94,Magnitogorsk,RU,2022-01-25 19:17:38,53.4186,59.0472,-3.17,84,13,2.24
95,Santa Rosa,PH,2022-01-25 19:17:38,14.3122,121.1114,79.11,71,100,11.3
96,Mukdahan,TH,2022-01-25 19:17:38,16.5833,104.5,68.0,62,92,3.44
97,Thompson,CA,2022-01-25 19:17:39,55.7435,-97.8558,-14.64,70,40,5.75
98,Avarua,CK,2022-01-25 19:17:39,-21.2078,-159.775,80.65,83,0,6.91
99,Zaoyang,CN,2022-01-25 19:17:39,32.1272,112.7542,40.46,77,100,2.39
100,Bredasdorp,ZA,2022-01-25 19:17:39,-34.5322,20.0403,67.32,73,100,5.75
101,Ust-Kulom,RU,2022-01-25 19:17:40,61.6864,53.6902,15.6,90,74,9.15
102,Rio Grande,BR,2022-01-25 19:17:40,-32.035,-52.0986,87.91,71,5,13.78
103,Tecoanapa,MX,2022-01-25 19:17:40,16.5167,-98.75,84.45,50,0,10.33
104,Iqaluit,CA,2022-01-25 19:17:41,63.7506,-68.5145,-16.87,69,100,5.75
105,Rundu,NA,2022-01-25 19:17:41,-17.9333,19.7667,74.52,54,100,6.85
106,Peniche,PT,2022-01-25 19:17:41,39.3558,-9.3811,56.62,78,1,15.37
107,Bethel,US,2022-01-25 19:17:42,41.3712,-73.414,41.49,63,0,4.0
108,Longyearbyen,SJ,2022-01-25 19:17:42,78.2186,15.6401,17.44,73,40,19.57
109,Ballina,AU,2022-01-25 19:17:42,-28.8667,153.5667,69.98,92,100,2.44
110,Esil,KZ,2022-01-25 19:17:42,51.9556,66.4042,-0.06,90,100,5.79
111,Shumskiy,RU,2022-01-25 19:17:43,54.8318,99.1328,5.29,96,100,2.3
112,Barentu,ER,2022-01-25 19:17:43,15.1139,37.5928,69.67,55,0,6.46
113,Negotino,MK,2022-01-25 19:13:44,41.4839,22.0892,23.86,50,15,3.58
114,Sosnogorsk,RU,2022-01-25 19:17:43,63.6023,53.8817,19.81,90,100,9.98
115,Sisimiut,GL,2022-01-25 19:17:44,66.9395,-53.6735,12.16,78,100,11.86
116,Dikson,RU,2022-01-25 19:17:44,73.5069,80.5464,11.93,92,100,33.91
117,Yar-Sale,RU,2022-01-25 19:17:44,66.8333,70.8333,7.56,90,100,19.8
118,Mayor Pablo Lagerenza,PY,2022-01-25 19:17:44,-19.9309,-60.7718,105.08,21,100,8.66
119,Saint-Denis,FR,2022-01-25 19:17:45,48.9167,2.3333,34.29,98,100,1.14
120,Bay Roberts,CA,2022-01-25 19:17:45,47.5999,-53.2648,33.51,79,100,5.01
121,Hithadhoo,MV,2022-01-25 19:17:45,-0.6,73.0833,81.36,66,100,15.17
122,Nisporeni,MD,2022-01-25 19:17:46,47.0814,28.1783,24.85,84,100,2.33
123,Kavieng,PG,2022-01-25 19:17:46,-2.5744,150.7967,82.72,78,100,10.09
124,Nara,JP,2022-01-25 19:17:46,34.6851,135.8049,37.71,76,98,0.63
125,Sillod,IN,2022-01-25 19:17:47,20.3,75.65,57.0,47,0,6.91
