City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
42,Constantine,DZ,36.365,6.6147,44.01,61,75,23.02,broken clouds
43,Atuona,PF,-9.8,-139.0333,78.42,77,25,23.22,light rain
44,Pierre,US,44.3683,-100.351,19.85,45,0,3.0,clear sky
45,Mirabad,AF,30.4362,61.8383,59.61,28,7,5.64,clear sky
46,Geraldton,AU,-28.7667,114.6,84.61,26,8,14.97,clear sky
47,Mezen,RU,65.8522,44.24,2.25,96,85,7.14,overcast clouds
48,Tarancon,ES,40.0085,-3.0073,53.49,62,0,13.67,clear sky
49,Fort Myers Beach,US,26.452,-81.9481,76.05,46,20,8.01,few clouds
50,Kosovska Mitrovica,XK,42.8833,20.8667,34.14,94,100,5.5,overcast clouds
51,Saskylakh,RU,71.9167,114.0833,-28.21,100,52,2.06,broken clouds
52,Pisco,PE,-13.7,-76.2167,78.85,57,20,11.5,few clouds
53,San Patricio,US,28.017,-97.5169,71.19,56,4,3.65,clear sky
54,New Norfolk,AU,-42.7826,147.0587,51.3,53,8,3.42,clear sky
55,Hilo,US,19.7297,-155.09,72.63,94,100,8.05,moderate rain
56,Halifax,CA,44.6453,-63.5724,25.21,47,0,3.0,clear sky
57,Port Elizabeth,ZA,-33.918,25.5701,80.89,65,0,3.44,clear sky
58,Mar Del Plata,AR,-38.0023,-57.5575,82.87,45,0,21.0,clear sky
59,Mananjary,MG,-21.2167,48.3333,75.24,86,40,6.89,light rain
60,Krasnyy Chikoy,RU,50.3643,108.7512,-3.48,100,100,2.46,overcast clouds
61,Lerwick,GB,60.1545,-1.1494,41.0,63,100,29.8,overcast clouds
62,Vaini,TO,-21.2,-175.2,77.16,88,40,2.3,scattered clouds
63,Eltham,NZ,-39.4292,174.3,65.68,80,100,11.92,overcast clouds
64,Alta Floresta,BR,-9.8756,-56.0861,84.02,70,75,3.44,broken clouds
65,Busselton,AU,-33.65,115.3333,61.05,66,54,17.74,broken clouds
66,Belmonte,BR,-15.8631,-38.8828,86.5,67,2,10.51,clear sky
67,Kapaa,US,22.0752,-159.319,68.32,88,75,6.91,broken clouds
68,Hobart,AU,-42.8794,147.3294,51.66,59,8,18.41,clear sky
69,Clyde River,CA,70.4692,-68.5914,-21.77,69,75,5.75,broken clouds
70,Esperance,AU,-33.8667,121.9,58.84,66,89,17.31,overcast clouds
71,Nishihara,JP,26.1842,127.7558,64.06,81,75,8.05,broken clouds
72,Hermanus,ZA,-34.4187,19.2345,72.9,85,21,1.01,few clouds
73,Faya,SA,18.3851,42.4509,57.31,73,6,4.61,clear sky
74,Vardo,NO,70.3705,31.1107,13.98,92,0,6.91,clear sky
75,College,US,64.8569,-147.8028,-2.54,77,20,0.0,few clouds
76,Balabac,PH,7.9868,117.0645,80.53,81,11,14.79,few clouds
77,Ngunguru,NZ,-35.6167,174.5,70.16,86,100,17.45,overcast clouds
78,Tatawin,TN,32.9297,10.4518,56.28,54,47,21.14,scattered clouds
