City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Rumonge,BI,69.64,overcast clouds,-3.9736,29.4386,Kwetu Guest House
399,Mushabani,IN,64.17,clear sky,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
400,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
402,Phuket,TH,75.42,few clouds,8.0,98.25,The Surin
405,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
408,Finote Selam,ET,66.88,broken clouds,10.7,37.2667,Kidanemihiret vilage with Anduamlak Alelign(ONEGOD)
413,Vila Franca Do Campo,PT,62.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
415,Dunedin,NZ,64.15,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
417,Rawson,AR,78.62,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
418,Liku,ID,74.23,overcast clouds,-0.7275,119.8922,Wahyu
419,Maxixe,MZ,78.62,few clouds,-23.8597,35.3472,Oceano
420,Noumea,NC,73.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
422,Ulladulla,AU,70.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
424,Camapua,BR,73.53,overcast clouds,-19.5314,-54.0439,Comercial Estrela
434,Kieta,PG,79.12,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
440,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,La Cimarrona
442,Bongouanou,CI,79.21,few clouds,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
445,Hobyo,SO,78.08,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
447,Kalmunai,LK,73.99,clear sky,7.4167,81.8167,VS Villa
449,Pathein,MM,62.19,clear sky,16.7833,94.7333,New Pammawaddy Hotel
452,Batemans Bay,AU,73.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
459,San Quintin,MX,60.75,few clouds,30.4833,-115.95,Don Eddie's Landing
461,Kiama,AU,73.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
466,Bubaque,GW,79.16,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
